status	url	local_path	bytes	content_type	error
downloaded	https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=600&q=80&fit=crop	assets/photo-1451187580459-43490279c0fa-d4c5c62a4765.jpg	41754	image/jpeg	
downloaded	https://images.unsplash.com/photo-1518770660439-4636190af475?w=400&q=80&fit=crop	assets/photo-1518770660439-4636190af475-331490942f3d.jpg	28258	image/jpeg	
downloaded	https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=400&q=80&fit=crop	assets/photo-1526374965328-7f61d4dc18c5-d7ba4ddbeb7e.jpg	32055	image/jpeg	
downloaded	https://images.unsplash.com/photo-1620712943543-bcc4688e7485?w=600&q=75&auto=format&fit=crop	assets/photo-1620712943543-bcc4688e7485-a446e4227f55.jpg	133868	image/jpeg	
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776464876/ailens-logo-1_bbohlv.png		0		<HTTPError 401: 'Unauthorized'>
ignored	https://images.unsplash.com		0		invalid/incomplete media URL
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776461428/1000030609-ezremove_vqnf81.png		0		<HTTPError 401: 'Unauthorized'>
downloaded	https://images.unsplash.com/photo-1518770660439-4636190af475?w=600&q=75&auto=format&fit=crop	assets/photo-1518770660439-4636190af475-06a24867370c.jpg	52709	image/jpeg	
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776457365/pixelskits-logo-3_wkcdgs.png		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776457298/anioracle-logo-3_uhu46y.png		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776082454/grok_image_1776082340032_xgetbl.jpg		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/video/upload/v1776081351/InShot_20260413_170844585_y5b9v6.mp4		0		<HTTPError 401: 'Unauthorized'>
downloaded	https://images.unsplash.com/photo-1676299081847-824916de030a?w=600&q=75&auto=format&fit=crop	assets/photo-1676299081847-824916de030a-123e3e6b7df5.jpg	30060	image/jpeg	
failed	https://res.cloudinary.com/de6izpjix/video/upload/v1776163296/InShot_20260414_160549852_r13vqv.mp4		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/video/upload/v1776091284/InShot_20260413_200638496_rdprfe.mp4		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/video/upload/v1776245813/InShot_20260415_011424782_xf9k5w.mp4		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776081166/grok_image_1776069468041_2_dxmln0.jpg		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/video/upload/v1776245989/InShot_20260415_011527101_u2at67.mp4		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776081283/grok_image_1776072633620_2_wvplqr.jpg		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776081300/grok_image_1776072753695_2_wdmi5n.jpg		0		<HTTPError 401: 'Unauthorized'>
failed	https://res.cloudinary.com/de6izpjix/image/upload/v1776081270/grok_image_1776072166867_3_ec7v1b.jpg		0		<HTTPError 401: 'Unauthorized'>
